# Austronesian (Glottolog 5.3) members in the eBible corpus; branch = Glottolog subgroup 2 level(s) below Austronesian
languageCode,branch
ktm,Eastern Malayo-Polynesian
kud,Eastern Malayo-Polynesian
kwd,Eastern Malayo-Polynesian
kwf,Eastern Malayo-Polynesian
lbb,Eastern Malayo-Polynesian
lcm,Eastern Malayo-Polynesian
leu,Eastern Malayo-Polynesian
lga,Eastern Malayo-Polynesian
lgl,Eastern Malayo-Polynesian
lid,Eastern Malayo-Polynesian
lww,Eastern Malayo-Polynesian
mbh,Eastern Malayo-Polynesian
mee,Eastern Malayo-Polynesian
mek,Eastern Malayo-Polynesian
met,Eastern Malayo-Polynesian
meu,Eastern Malayo-Polynesian
mkj,Eastern Malayo-Polynesian
mmo,Eastern Malayo-Polynesian
mmx,Eastern Malayo-Polynesian
mna,Eastern Malayo-Polynesian
mox,Eastern Malayo-Polynesian
mpx,Eastern Malayo-Polynesian
mri,Eastern Malayo-Polynesian
mva,Eastern Malayo-Polynesian
mvn,Eastern Malayo-Polynesian
mwc,Eastern Malayo-Polynesian
mxm,Eastern Malayo-Polynesian
myw,Eastern Malayo-Polynesian
mzz,Eastern Malayo-Polynesian
nak,Eastern Malayo-Polynesian
nal,Eastern Malayo-Polynesian
ncf,Eastern Malayo-Polynesian
nho,Eastern Malayo-Polynesian
nlg,Eastern Malayo-Polynesian
nmw,Eastern Malayo-Polynesian
nrz,Eastern Malayo-Polynesian
nsn,Eastern Malayo-Polynesian
nss,Eastern Malayo-Polynesian
ntu,Eastern Malayo-Polynesian
nuq,Eastern Malayo-Polynesian
nwi,Eastern Malayo-Polynesian
omb,Eastern Malayo-Polynesian
pma,Eastern Malayo-Polynesian
pon,Eastern Malayo-Polynesian
pri,Eastern Malayo-Polynesian
ptp,Eastern Malayo-Polynesian
pwg,Eastern Malayo-Polynesian
rai,Eastern Malayo-Polynesian
rro,Eastern Malayo-Polynesian
rug,Eastern Malayo-Polynesian
sbe,Eastern Malayo-Polynesian
sgz,Eastern Malayo-Polynesian
snc,Eastern Malayo-Polynesian
sps,Eastern Malayo-Polynesian
ssg,Eastern Malayo-Polynesian
stw,Eastern Malayo-Polynesian
swp,Eastern Malayo-Polynesian
tbc,Eastern Malayo-Polynesian
tbf,Eastern Malayo-Polynesian
tbo,Eastern Malayo-Polynesian
tbx,Eastern Malayo-Polynesian
tgo,Eastern Malayo-Polynesian
tgp,Eastern Malayo-Polynesian
tnk,Eastern Malayo-Polynesian
tnn,Eastern Malayo-Polynesian
tnp,Eastern Malayo-Polynesian
ton,Eastern Malayo-Polynesian
tpa,Eastern Malayo-Polynesian
tpz,Eastern Malayo-Polynesian
tte,Eastern Malayo-Polynesian
tuc,Eastern Malayo-Polynesian
tvk,Eastern Malayo-Polynesian
ubr,Eastern Malayo-Polynesian
uli,Eastern Malayo-Polynesian
upv,Eastern Malayo-Polynesian
uvl,Eastern Malayo-Polynesian
viv,Eastern Malayo-Polynesian
wat,Eastern Malayo-Polynesian
wed,Eastern Malayo-Polynesian
wiv,Eastern Malayo-Polynesian
wuv,Eastern Malayo-Polynesian
xsi,Eastern Malayo-Polynesian
yap,Eastern Malayo-Polynesian
yml,Eastern Malayo-Polynesian
ymp,Eastern Malayo-Polynesian
agn,Greater Central Philippine
atd,Greater Central Philippine
bgs,Greater Central Philippine
bkd,Greater Central Philippine
ceb,Greater Central Philippine
cgc,Greater Central Philippine
clu,Greater Central Philippine
hil,Greater Central Philippine
klg,Greater Central Philippine
mbb,Greater Central Philippine
